ref, lambda, mu, d, phi_1, theta_1, phi_2, theta_2
1, 0.5, 1, NA, 0.1, 0.3, 0.4, 0.2
2, 0.5, 2, NA, 0.1, 0.3, 0.4, 0.2
3, 0.5, 1, NA, 0.1, 0.3, 0.8, 0.2
4, 0.5, 2, NA, 0.1, 0.3, 0.8, 0.2
5, 0.7, 1, NA, 0.1, 0.3, 0.8, 0.2
6, 0.7, 2, NA, 0.1, 0.3, 0.8, 0.2
7, NA, NA, 0.1, -0.8, 0.6, NA, NA
8, NA, NA, 0.2, -0.8, 0.6, NA, NA
9, NA, NA, 0.3, -0.8, 0.6, NA, NA
10, NA, NA, 0.4, -0.8, 0.6, NA, NA
11, NA, NA, 0.1, 0.1, -0.8, NA, NA
12, NA, NA, 0.2, 0.1, -0.8, NA, NA
13, NA, NA, 0.3, 0.1, -0.8, NA, NA
14, NA, NA, 0.4, 0.1, -0.8, NA, NA
15, NA, NA, 0.1, 0.1, 0.8, NA, NA
16, NA, NA, 0.2, 0.1, 0.8, NA, NA
17, NA, NA, 0.3, 0.1, 0.8, NA, NA
18, NA, NA, 0.4, 0.1, 0.8, NA, NA
19, NA, NA, 0.1, 0.6, -0.8, NA, NA
20, NA, NA, 0.2, 0.6, -0.8, NA, NA
21, NA, NA, 0.3, 0.6, -0.8, NA, NA
22, NA, NA, 0.4, 0.6, -0.8, NA, NA
